-20.8126,-0.8811,-397.7159,0.062249
-22.2718,-0.7519,-398.1269,0.062604
-23.7193,-0.6273,-398.5280,0.062955
-25.2012,-0.4962,-398.9286,0.063314
-26.6714,-0.3698,-399.3157,0.063670
-28.1304,-0.2422,-399.6855,0.064022
-29.6243,-0.1144,-400.0463,0.064382
-31.1079,0.0122,-400.3831,0.064738
-32.5815,0.1353,-400.6933,0.065091
-34.0896,0.2612,-400.9828,0.065450
-35.5873,0.3841,-401.2396,0.065805
-37.0745,0.5049,-401.4625,0.066157
-38.5938,0.6268,-401.6564,0.066516
-40.1009,0.7471,-401.8134,0.066870
-41.6376,0.8685,-401.9370,0.067231
-43.1600,0.9882,-402.0216,0.067587
-44.6674,1.1052,-402.0691,0.067940
-46.2005,1.2214,-402.0795,0.068299
-47.7165,1.3342,-402.0514,0.068653
-49.2551,1.4455,-401.9839,0.069014
-50.7742,1.5534,-401.8761,0.069370
-52.2728,1.6582,-401.7273,0.069722
-53.7890,1.7615,-401.5333,0.070079
-55.2819,1.8642,-401.2986,0.070432
-56.7879,1.9669,-401.0165,0.070790
-58.2671,2.0707,-400.6924,0.071144
-59.7542,2.1796,-400.3189,0.071503
-61.2106,2.2885,-399.9042,0.071857
-62.6691,2.3997,-399.4355,0.072215
-64.0925,2.5128,-398.9256,0.072569
-65.5095,2.6379,-398.3616,0.072926
-66.8864,2.7618,-397.7563,0.073278
-68.2553,2.9002,-397.1031,0.073633
-69.5887,3.0333,-396.4107,0.073985
-70.9007,3.1610,-395.6761,0.074337
-72.1994,3.3098,-394.9089,0.074690
-73.4941,3.4491,-394.0877,0.075049
-74.7617,3.5924,-393.2341,0.075407
-76.0074,3.7288,-392.3502,0.075765
-77.2352,3.8586,-391.4373,0.076123
-78.4499,3.9829,-390.4973,0.076482
-79.6224,4.1000,-389.5560,0.076834
-80.7841,4.2125,-388.5901,0.077187
-81.9359,4.3204,-387.5997,0.077542
-83.0778,4.4249,-386.5867,0.077899
-84.2090,4.5257,-385.5528,0.078257
-85.3261,4.6243,-384.5009,0.078616
