x,y,z,pot
-356.9909,23.9605,-942.1645,0.069134
-355.5385,23.8638,-941.4923,0.069365
-354.0744,23.7659,-940.8092,0.069598
-352.7134,23.6717,-940.1691,0.069815
-351.3408,23.5791,-939.5188,0.070034
-349.9564,23.4836,-938.8563,0.070256
-348.5641,23.3889,-938.1835,0.070479
-347.1637,23.2912,-937.5007,0.070704
-345.7578,23.1917,-936.8086,0.070930
-344.3567,23.0906,-936.1105,0.071156
-342.9602,22.9905,-935.4054,0.071382
-341.5603,22.8896,-934.6911,0.071608
-340.1544,22.7880,-933.9670,0.071837
-338.7422,22.6872,-933.2314,0.072067
-337.3238,22.5864,-932.4843,0.072298
-335.8990,22.4834,-931.7261,0.072531
-334.4673,22.3776,-930.9568,0.072766
-333.0290,22.2699,-930.1756,0.073002
-331.7048,22.1699,-929.4490,0.073220
-330.3749,22.0680,-928.7123,0.073439
-329.0393,21.9642,-927.9658,0.073660
-327.6982,21.8588,-927.2097,0.073883
-326.3509,21.7528,-926.4440,0.074106
-324.9974,21.6466,-925.6689,0.074332
-323.6379,21.5397,-924.8854,0.074558
-322.2718,21.4317,-924.0945,0.074786
-320.8988,21.3216,-923.2963,0.075015
-319.5185,21.2105,-922.4918,0.075246
-318.1307,21.0976,-921.6815,0.075478
-316.7355,20.9840,-920.8657,0.075712
-315.3324,20.8706,-920.0446,0.075946
-313.9211,20.7579,-919.2183,0.076182
-312.5021,20.6461,-918.3869,0.076420
-311.2056,20.5434,-917.6271,0.076637
-309.9025,20.4403,-916.8632,0.076855
-308.5931,20.3375,-916.0954,0.077074
-307.2768,20.2347,-915.3235,0.077294
-305.9541,20.1306,-914.5484,0.077516
-304.6256,20.0250,-913.7704,0.077738
-303.2903,19.9181,-912.9888,0.077962
-301.9476,19.8112,-912.2032,0.078186
-300.5988,19.7051,-911.4147,0.078412
-299.2435,19.5980,-910.6234,0.078638
-297.8813,19.4898,-909.8288,0.078866
-296.5126,19.3813,-909.0308,0.079095
-295.1399,19.2731,-908.2303,0.079324
-293.7684,19.1657,-907.4301,0.079553
-292.3983,19.0578,-906.6301,0.079783
-291.0289,18.9491,-905.8300,0.080012
-289.6577,18.8395,-905.0278,0.080241
-288.2826,18.7289,-904.2222,0.080471
-286.9030,18.6188,-903.4124,0.080702
-285.5190,18.5091,-902.5985,0.080934
-284.1310,18.3989,-901.7810,0.081167
-282.7392,18.2861,-900.9600,0.081400
-281.3436,18.1739,-900.1351,0.081634
-279.9438,18.0630,-899.3063,0.081869
-278.5400,17.9547,-898.4734,0.082104
-277.1323,17.8466,-897.6368,0.082341
-275.7216,17.7367,-896.7968,0.082578
-274.3081,17.6266,-895.9521,0.082816
-272.8919,17.5183,-895.1021,0.083054
-271.4735,17.4134,-894.2466,0.083293
-270.0533,17.3107,-893.3868,0.083533
-268.6308,17.2064,-892.5228,0.083773
-267.3490,17.1126,-891.7413,0.083990
-266.0655,17.0194,-890.9570,0.084207
-264.7797,16.9249,-890.1694,0.084424
-263.4923,16.8284,-889.3792,0.084643
-262.2035,16.7278,-888.5868,0.084861
-260.9126,16.6242,-887.7917,0.085080
-259.6197,16.5203,-886.9931,0.085299
-258.3256,16.4188,-886.1904,0.085519
-257.0305,16.3206,-885.3830,0.085739
-255.7345,16.2243,-884.5711,0.085960
-254.4375,16.1276,-883.7549,0.086181
-253.1397,16.0298,-882.9345,0.086403
-251.8410,15.9301,-882.1102,0.086625
-250.5418,15.8286,-881.2820,0.086847
-249.2421,15.7256,-880.4495,0.087070
-247.9418,15.6215,-879.6127,0.087294
-246.6411,15.5173,-878.7720,0.087517
-245.3399,15.4138,-877.9270,0.087741
-244.0380,15.3108,-877.0780,0.087966
-242.7352,15.2083,-876.2255,0.088190
-241.4316,15.1046,-875.3698,0.088415
-240.1272,14.9998,-874.5107,0.088641
-238.8221,14.8947,-873.6483,0.088867
-237.5163,14.7909,-872.7824,0.089093
-236.2096,14.6890,-871.9132,0.089320
-234.9022,14.5899,-871.0409,0.089546
-233.5939,14.4923,-870.1656,0.089774
-232.2851,14.3955,-869.2879,0.090001
-230.9760,14.2979,-868.4083,0.090229
-229.6674,14.1994,-867.5269,0.090456
-228.3601,14.1010,-866.6433,0.090684
-227.0541,14.0033,-865.7579,0.090912
-225.7498,13.9059,-864.8704,0.091140
-224.4470,13.8069,-863.9813,0.091367
-223.1456,13.7053,-863.0908,0.091595
-221.8462,13.6019,-862.1985,0.091822
-220.5491,13.4984,-861.3038,0.092050
-219.2540,13.3966,-860.4066,0.092277
-217.9610,13.2975,-859.5070,0.092505
-216.6700,13.2008,-858.6049,0.092732
-215.3809,13.1060,-857.7003,0.092959
-214.0936,13.0119,-856.7936,0.093186
-212.8083,12.9177,-855.8848,0.093414
-211.5249,12.8235,-854.9738,0.093641
-210.2436,12.7302,-854.0607,0.093868
-208.9641,12.6379,-853.1455,0.094095
-207.6867,12.5464,-852.2281,0.094322
-206.4114,12.4569,-851.3084,0.094549
-205.1381,12.3689,-850.3865,0.094775
-203.8667,12.2826,-849.4625,0.095002
-202.5974,12.1966,-848.5362,0.095229
-201.3301,12.1109,-847.6077,0.095456
-200.0646,12.0249,-846.6774,0.095682
-198.8012,11.9392,-845.7452,0.095909
-197.5397,11.8528,-844.8109,0.096135
-196.2806,11.7672,-843.8741,0.096361
-195.0238,11.6824,-842.9349,0.096588
-193.7694,11.5977,-841.9933,0.096814
-192.5172,11.5121,-841.0492,0.097040
