x_right,z_right,x_left,z_left
-428.5084,-930.3676,-441.7378,-922.3331
-429.1059,-931.2850,-442.5627,-923.6564
-429.6727,-932.1056,-443.4229,-925.0434
-430.1902,-932.8044,-444.2902,-926.4460
-430.7255,-933.4501,-445.1513,-927.8696
-431.2596,-933.9754,-446.0177,-929.3413
-431.9103,-934.5927,-446.9056,-930.9012
-432.5417,-935.1806,-447.7852,-932.5403
-433.3475,-935.8882,-448.6424,-934.2206
-433.9737,-936.6529,-449.4991,-936.0774
-434.7473,-937.5307,-450.3123,-938.0127
-435.2728,-938.4735,-451.0618,-940.0579
-435.8133,-939.5292,-451.7409,-942.1814
-436.3447,-940.6743,-452.3378,-944.4039
-436.8385,-941.9741,-452.8597,-946.7823
-437.0110,-943.2942,-453.2897,-949.2213
-437.1746,-944.6946,-453.6066,-951.7451
-437.2047,-946.1180,-453.7956,-954.3602
-437.1149,-947.5306,-453.7841,-957.1422
-436.8933,-948.9257,-453.5355,-960.0989
-436.4650,-950.2559,-453.0288,-963.1653
-435.8025,-951.4767,-452.3019,-966.2478
-434.9253,-952.5338,-451.2735,-969.3948
-433.8584,-953.4200,-449.7275,-972.1402
-432.6543,-954.1456,-446.6129,-972.8829
-431.3499,-954.7158,-443.6178,-973.3820
-429.9074,-955.0170,-440.7322,-973.6857
-428.4948,-955.2509,-437.8607,-973.8490
-427.0491,-955.3811,-435.2044,-973.8181
-425.5131,-955.1515,-432.6041,-973.6690
-423.9879,-954.8521,-430.1834,-973.4014
-422.5379,-954.4293,-427.8992,-973.0554
-421.1387,-953.9123,-425.6485,-972.6526
-419.7715,-953.3793,-423.4848,-972.1799
-418.4243,-952.8125,-421.3807,-971.6416
-417.1589,-952.2561,-419.3845,-971.0893
-415.8980,-951.6593,-417.4269,-970.4947
-414.7564,-951.0444,-415.5163,-969.8874
-413.5847,-950.4583,-413.6609,-969.2490
-412.4297,-949.8838,-411.9108,-968.5981
-411.2370,-949.3163,-410.1827,-967.9253
-410.0700,-948.7560,-408.5294,-967.2558
-408.8784,-948.1884,-406.8737,-966.5683
-407.7133,-947.6503,-405.2814,-965.8910
-406.5755,-947.1192,-403.7542,-965.2324
-405.4442,-946.6025,-402.2045,-964.5530
-404.3264,-946.0790,-400.6351,-963.8623
-403.2499,-945.5920,-399.1252,-963.1848
-402.1307,-945.0883,-397.6075,-962.5023
-401.0296,-944.6148,-396.1533,-961.8463
-399.8952,-944.1254,-394.6897,-961.1679
-398.7024,-943.6231,-393.2117,-960.4926
-397.5466,-943.1454,-391.7978,-959.8313
-396.3257,-942.6370,-390.3689,-959.1767
-395.0693,-942.1269,-388.9276,-958.4987
-393.7548,-941.5845,-387.4646,-957.8282
-392.4640,-941.0653,-386.0705,-957.1700
-391.1394,-940.5217,-384.6451,-956.5181
-389.7711,-939.9732,-383.1999,-955.8343
-388.4475,-939.4318,-381.8070,-955.1994
-387.0711,-938.8797,-380.4002,-954.5319
-385.6727,-938.3061,-378.9601,-953.8735
-384.3228,-937.7645,-377.5954,-953.2270
-382.9419,-937.1964,-376.2016,-952.5904
-381.5344,-936.6316,-374.7846,-951.9460
-380.1050,-936.0472,-373.3562,-951.2662
-378.6593,-935.4668,-371.8945,-950.5998
-377.2841,-934.9042,-370.5218,-949.9475
-375.8792,-934.3400,-369.1206,-949.3086
-374.4480,-933.7545,-367.7008,-948.6645
-372.9869,-933.1553,-366.2754,-947.9833
-371.5017,-932.5577,-364.8208,-947.3223
-370.1044,-931.9834,-363.4655,-946.6763
-368.6887,-931.4140,-362.0823,-946.0499
